class,monster kills per death,death in pvp percentage,player kills per death,accuracy
cleric,0.5658906265966223,0.038949028144453474,0.3746480943342511,0.8315162393518252
cleric,1.018481318251456,0.21530681052804984,0.14793924322444588,0.17404192633561236
cleric,0.744536744661148,0.31372036876633136,0.17178369703967908,0.5670351380260391
cleric,0.393449853248049,0.1184404395832144,0.408181845642944,0.7091588039845788
cleric,0.6641872237309373,0.14159767663354556,0.16850263304050922,0.8592561182047562
cleric,1.9390354131353318,0.061628970059168994,0.02080725473027987,0.4561720158235225
cleric,0.7116062839131615,0.25394594566732187,0.19433581241467457,0.3242235666971175
cleric,0.4196965966803962,0.22967352082065937,0.25022292270762364,0.709114855156427
cleric,0.3413969248136047,0.03883602343217598,0.05303310965078216,0.9844523399751607
cleric,1.119366643039084,0.11111984937558847,0.17624802222139918,0.7807409287671256
cleric,0.14014420709793593,0.11627460467418253,0.1269153845331938,0.7418977156320942
cleric,1.012067503552534,0.1622443648302929,0.04714550808980918,0.6676998585661225
cleric,0.5633815500551974,0.16196091458439735,0.8280943391307193,0.6434005424456687
cleric,0.4605128872425234,0.14749460929133273,0.37611905767844517,0.8009364021401569
cleric,1.5169426707617804,0.16961680505860055,0.05715667531668807,0.6739404006600115
cleric,1.2762072944364455,0.44151360536630135,0.2203186226421064,0.6988334259331486
cleric,0.12762330368968222,0.18878708309901643,0.08083512079642911,0.5263345776324526
cleric,0.14522832577058617,0.17864376508136715,0.1539910797362804,0.86624027794218
cleric,0.2466680308779011,0.023320544815300173,0.24189947669792494,0.6833543879103189
cleric,0.483404140205363,0.062123091425579056,0.18325000734778724,1
cleric,1.1576604697271353,0.0738573363001144,0.1829348218087482,0.5528628233000368
cleric,0.43745277682809774,0.13275298639336136,0.3879368541001024,0.7324945658732621
cleric,0.42239356930548233,0.15561086075067032,0.1864642263842411,0.6336630637146076
cleric,0.4081706073485121,0.2648160081119671,0.25199132834771343,0.8698790529877409
cleric,0.07095360082237177,0.3474951439149616,0.14724126249133807,0.617577915089652
cleric,0.24957913367056347,0.13652766999427027,0.214031378122074,0.9453402927746863
cleric,0.36454629084426343,0.21109586519233203,0.07919727303967532,0.6360685914017744
cleric,0.7129629052978897,0.3456748287779875,0.13458886874444365,1
cleric,0.42063341275732075,0.12842453168937124,0.09622644867549422,1
cleric,0.02789503447418065,0.26078617399774473,0.02369931375348859,1
cleric,0.9877958397851958,0.31789390448107546,0.5766344774327298,1
cleric,0.13244230623612405,0.00887803551093777,0.24651815838041846,0.8302879603064954
cleric,1.4242198903994012,0.004380588690260492,0.374365746803567,0.9060365151726494
cleric,0.10774794326338948,0.11211712727700743,0.2243926271182945,0.1253724955851326
cleric,0.33922106518742456,0.15473329880636505,0.367255912954149,0.9889582193696108
cleric,0.0015058324924789373,0.2954746882605145,0.17599481292308505,1
cleric,0.6757251855612175,0.13640141941260867,0.0677459592438691,0.6875993844050582
cleric,0.047018293173159066,0.10105221229618253,0.3791122824497083,0.6345653691077102
cleric,0.18465939629463982,0.12504446457187496,0.20127334637350303,0.786146068205372
cleric,0.9476059972651919,0.11015006613918844,0.1431105346520567,0.14497373583770884
cleric,0.4764421262696057,0.17495168682817408,0.4871819436181328,0.6696169762504948
cleric,0.402576075779935,0.11053820398600324,0.16459950685022579,0.6671470258976161
cleric,0.09586263966396995,0.07987931278709118,0.040295365398982805,0.6429075176630568
cleric,0.3289267359476668,0.09634540383962857,0.16329962435459985,1
cleric,0.15811836705932583,0.0353498444195956,0.28682949100192184,0.7571566067976083
cleric,0.7065759457530332,0.09095857227347476,0.6569466005586547,0.9884409981380977
cleric,0.12634360552610818,0.23518875409680073,0.5003988661196465,0.8389338074816753
cleric,0.15024975994567172,0.447338795505685,0.4341258017726763,0.7689931020527554
cleric,0.46940949407566346,0.1633583221561587,0.006772372505225617,0.9060257593791998
cleric,1.0768207998133255,0.1742723188400414,0.10791712355088615,1
cleric,0.11810339212892844,0.00599492856113891,0.16638985021270264,0.20093752459940134
cleric,0.4431847526880653,0.2902261297444618,0.17829373538540622,0.844497370379163
cleric,0.3295709873457167,0.4002567748382406,0.06567990133082205,0.48657217891206694
cleric,0.7906693341556118,0.3129649127934411,0.11621393658649601,0.6570010374570768
cleric,0.16505738496495284,0.07654552512503202,0.1617430127424112,0.2713255625653964
cleric,0.02933314162576416,0.13087141142311698,0.34146710668208413,0.7944762193288224
cleric,0.13859202907207338,0.2184297484818366,0.12696647325243965,0.8166846345494666
cleric,1.0612485652420005,0.008509877549045822,0.04498277791019377,0.8033522503113185
cleric,0.3051560491003796,0.11833640690450559,0.39413050844206815,0.638365261795047
cleric,0.271078501576789,0.15530528762156615,0.4576299763748266,0.8935544140971845
cleric,0.11946214683554619,0.017702327674054788,0.18303611752088478,0.3939638359264097
cleric,1.2264727715852912,0.020617823992533132,0.09940723482346327,0.26814841017914615
cleric,0.279850353194707,0.20444690790154552,0.03697621099142122,1
cleric,0.26132649593784035,0.12265748993955702,0.16892222032089144,0.9766079368685036
cleric,0.08536952742736172,0.07926163287883178,0.09883308175743936,1
cleric,0.7083260923658115,0.056687433061946596,0.2790282802278307,0.7736777092907119
cleric,0.032118519836335346,0.05645624662002327,0.056045302212286666,0.7570175281576021
cleric,0.29063446305639484,0.029351738164898847,0.24334710331613046,0.8427772348443285
cleric,0.4863218740156334,0.17476685267747977,0.20878593185609828,0.7351254733864325
cleric,0.46624665386324415,0.15645690836187673,0.20725965240627098,0.6636714040188791
cleric,0.07833967830115833,0.15221046402429456,0.07517708882271694,0.6352435850942629
cleric,0.8896368946947576,0.021370930344047717,0.16356422846567903,0.7175477891451736
cleric,0.046419518517418525,0.10433642469527832,0.12781407863953237,0.7639251077658319
cleric,0.3181691651681089,0.0512488072234745,0.19234364051135122,0.7400811895883386
cleric,0.4825280791362616,0.2322024910251897,0.0455378438021703,1
cleric,0.7888423940781065,0.09082210487197409,0.3302174213683158,0.6828397256858241
cleric,0.3069099148562377,0.08608019488217104,0.08273779317713943,0.1852633301114121
cleric,0.3463123492327867,0.025691955199449917,0.0851612067324228,1
cleric,1.7849942682015099,0.2882291908212603,0.31349885770524727,0.6416546077478379
cleric,1.8544311900353565,0.24019462045269102,0.5622341195758455,0.12487875121790402
cleric,0.3177156370669127,0.14135076424444637,0.20285302540926226,0.922192692543024
cleric,0.3170738456138054,0.21535888638289152,0.31616833705439995,0.34531590410438917
cleric,1.5567329881045782,0.001540206913021161,0.24322862368371018,0.8148507747152401
cleric,0.750226383190325,0.484399573332451,0.18937562953040643,0.1951891622852003
cleric,1.1085113385766336,0.11279034789479123,0.33290639067053107,0.726638585078503
cleric,0.7454844546813851,0.3723054232852998,0.13698281109188246,1
cleric,0.5546904863196223,0.2123599079081581,0.06756181097736084,0.6348333847091316
cleric,0.41599633285533794,0.20767191348099004,0.4239916254035817,1
cleric,0.3188237666192638,0.0455946260128684,0.27305847070709277,0.21386154814356956
cleric,0.21596500283637857,0.09186613287314031,0.09433221514959901,1
cleric,0.6743703909650983,0.005174939455800248,0.038285953269871026,0.8578975385333583
cleric,0.7985856656137743,0.2313901659740284,0.028080058661968166,0.7410221732061638
cleric,0.07592019729199381,0.0216493545965247,0.2963931680340419,0.5825781624754875
cleric,0.07467961559177091,0.07256122413865211,0.2377121888764958,0.6430200698660014
cleric,0.01562879415551848,0.198108180094016,0.07243351978798201,0.8045859008318169
cleric,0.6000700893717142,0.11975045471449783,0.07563694785157828,0.6021183728497673
cleric,0.40472318624985654,0.18108510101846892,0.008665193830212262,0.6581049345048771
cleric,1.2385123770856885,0.041035092315659376,0.28384073209699157,0.4696234416673579
cleric,0.37896940834944864,0.3245878114148578,0.15656925058307086,0.6652603842657244
cleric,0.7127261066532298,0.23330796612119048,0.2138971478324504,0.7139081137940738
cleric,0.40874630902040837,0.08260821072243282,0.07695473972836418,0.4752935433400236
cleric,0.47115132964996637,0.10601765852513007,1.0833011852719696,1
cleric,0.0029448068914308284,0.19553983680082734,0.19488668846498924,0.9135641988425984
cleric,0.04475702245562654,0.035760332442689,0.09229429224178286,0.5396656114720294
cleric,0.3631590396757885,0.12972193462922005,0.6170980610488085,0.4713555388008973
cleric,0.5864143306590446,0.08352770360608985,0.19147796280677354,0.6588951775086486
cleric,0.14809258520395083,0.13761638971478424,0.25215652386732923,0.6721214431064532
cleric,0.7016644128101807,0.004117186651957053,0.13478813288416072,0.9160420944301841
cleric,0.3947685878187011,0.0003067588204298255,0.015915084809027286,1
cleric,0.027449095296910985,0.3377627731629627,0.07397744661556072,1
cleric,0.21388833179172637,0.20018269231143543,0.0942821786147766,0.8319568793449533
cleric,0.5285725981867023,0.1438650640584328,0.1422139070890735,0.6785851257091803
cleric,0.5299176409890892,0.0450376398466883,0.05247014029505451,0.42843291775464987
cleric,0.1579813062640412,0.14908254757706269,0.10234351510250674,0.549159585032564
cleric,0.56294997955349,0.2712244964694502,0.14497365267406642,0.4434208186120445
cleric,0.28841378886446406,0.1145047411502422,0.20431605751741205,0.944742473621252
cleric,0.29037286795060413,0.02415328073002186,0.11984748107695277,0.814010431377627
cleric,1.201133955352699,0.11697287631971365,0.33826913622534033,1
cleric,0.37824063035692673,0.27122626848176073,0.019893890624416304,1
cleric,1.3179628124144476,0.12985742762769448,0.0476312987370857,1
cleric,0.7249385432279482,0.07159078562713636,0.4522413182401316,0.8006273786944448
cleric,0.9779395047401396,0.11314686151584867,0.46623495951431554,0.8569122125519457
cleric,0.3944912637291133,0.2526105345186588,0.022688698599880416,0.8948779624789872
cleric,0.6727531476398491,0.33782345275776526,0.07126116476174876,0.507835120448102
cleric,0.3290651019759958,0.17266407260875538,0.4871082342552439,0.8249139126367047
cleric,0.31169435543409446,0.29793098115477123,0.47657559336779426,0.21612332969812204
cleric,0.30864160819319325,0.27341373341930164,0.23296605490881778,0.8016522883753532
cleric,0.014081377058201595,0.04210873350851821,0.08758552908656517,0.6691426799039172
cleric,0.45953871089303644,0.05157259474187942,0.12686401546103127,0.6949390172627428
cleric,0.3712218346227914,0.08786714159868247,0.19496178691789523,0.7547754780045373
cleric,0.9890679740340106,0.03156635498221608,0.3533697035334094,0.7791579391358725
cleric,0.16402685382197496,0.35273906004421696,0.07272005233159338,1
cleric,0.15936921910923899,0.183098676164262,0.38636190654386715,0.9768520175552101
